428125	3270209
1262873	2332366
1638786	2956608
2293210	3713330
2292901	3362050
2885358	3346242
1872531	2036782
165186	2575064
172733	2294663
59620	3203018
165190	1786667
435591	4811379
349741	2664102
515619	3449685
411460	2741706
445970	2550678
484018	4421924
763034	4330716
585394	3592125
762968	4233768
1034345	2398022
742726	3443906
649755	1946426
1256908	3447136
573	5545778
1653434	3189052
28116	6472489
301302	3334694
1982628	2525946
1122957	2317131
853	3031166
2211183	2494407
310297	3968058
2293024	3795623
2293016	3107801
2293035	3183099
2509240	3738517
39485	3023216
2916441	2798076
411483	3102523
357276	5625488
745368	3400839
871665	4104676
2881276	3901120
2885351	3266661
2881271	2962236
2885356	3087174
2881264	3476177
2881262	2891423
449673	4007931
820	4629452
411459	3649956
1121115	4685728
470146	3373066
88431	2919963
39496	2856089
471875	2733858
2981768	3823105
2981786	3235561
2981779	2459729
2981794	2871164
2981770	3795992
1150298	3782803
537012	6778473
649757	2804089
3078042	3742317
3133162	2317003
3133154	3604728
3133152	4095624
39488	3515670
536231	4493348
435590	5323818
